#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 759 SBB                            6                0
 770 SETB                         533                0
 771 SETBE                        270                0
 777 SETNLE                         1                0
 781 SETNZ                       2671                0
 782 SETO                           2                0
 786 SETZ                        1112                0
 796 SHL                         3822                0
 799 SHR                         7990                0
 802 SHUFPD                         7                0
 821 STOSQ                          0             1894
 826 SUB                        14426                0
 833 SYSCALL                      108                0
 847 TEST                       51803                0
 856 TZCNT                        466                0
1140 VMOVD                         53                0
1145 VMOVDQU                      232                0
1221 VPBROADCASTB                  53                0
1231 VPCMPEQB                     602                0
1365 VPMINUB                       91                0
1377 VPMOVMSKB                    507                0
1421 VPOR                           4                0
1517 VPXOR                        423                0
1598 VZEROUPPER                   473                0
1613 XCHG                         465                0
1615 XGETBV                         1                0
1617 XOR                        11519                0
1622 XRSTOR                        16                0
1628 XSAVEC                        16                0
3000 *total                    731468             5245
3001 *mem-atomic                   19                0
3002 *stack-read                67125                0
3003 *stack-write               57936                0
3004 *iprel-read                 9018                0
3005 *iprel-write                 889                0
3007 *mem-read-1                36935                0
3008 *mem-read-2                 7150                0
3010 *mem-read-4                25881                0
3014 *mem-read-8               104835                0
3022 *mem-read-16                1304                0
3038 *mem-read-32                 598                0
3519 *mem-write-1                3232                0
3520 *mem-write-2                 117                0
3522 *mem-write-4                7630                0
3526 *mem-write-8               60523                0
3534 *mem-write-16               1615                0
3550 *mem-write-32                  6                0
3582 *mem-write-64                 16                0
4094 LAST                          16                0
# $eof
